genre,title,author,format,image,date_published,ISBN,rating,price
thriller,The Silent Patient,Alex Michaelides,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409181637.jpg,"
                15 Jan 2020",9781409181637,4/5,3453.87
thriller,Verity,Colleen Hoover,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408726600.jpg,"
                20 Jan 2022",9781408726600,4/5,3699.15
thriller,The Breakdown: The gripping thriller from the bestselling author of Behind Closed Doors,B A Paris,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8484/9781848454996.jpg,"
                09 Feb 2017",9781848454996,4/5,3961.22
thriller,Friend Request,Laura Marshall,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751568356.jpg,"
                11 Jan 2018",9780751568356,4/5,3543.11
thriller,Neuromancer,William Gibson,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4732/9781473217386.jpg,"
                08 Dec 2016",9781473217386,4/5,3693.89
thriller,The Girl With All The Gifts,M. R. Carey,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3565/9780356500157.jpg,"
                19 Jun 2014",9780356500157,4/5,3927.3
thriller,The Girl in the Ice,Robert Bryndza,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751570656.jpg,"
                30 Nov 2017",9780751570656,4/5,3556.83
thriller,Slow Horses,Mick Herron,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473674189.jpg,"
                12 Jun 2018",9781473674189,4/5,3461.21
thriller,Three Little Lies,Laura Marshall,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751568370.jpg,"
                04 Apr 2019",9780751568370,4/5,3368.28
thriller,Two Kinds of Truth,Michael Connelly,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409147596.jpg,"
                17 May 2018",9781409147596,4/5,3438.98
thriller,"Girl, Missing",Sophie McKenzie,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471147999.jpg,"
                14 Jul 2016",9781471147999,4/5,3546.22
thriller,Truth,Peter Temple,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8472/9781847243836.jpg,"
                01 Jul 2010",9781847243836,4/5,3711.07
thriller,Slough House Thrillers Boxed Set,Mick Herron,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/3998/9781399803502.jpg,"
                14 Apr 2022",9781399803502,0/5,19137.14
thriller,The Gift,Louise Jensen,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751570588.jpg,"
                16 Nov 2017",9780751570588,4/5,3467.59
thriller,The Eyes of Darkness,Dean Koontz,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472240293.jpg,"
                17 Mar 2020",9781472240293,4/5,3116.33
thriller,The Night Fire,Michael Connelly,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409186069.jpg,"
                23 Jun 2020",9781409186069,4/5,3620.9
thriller,Real Tigers,Mick Herron,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473674202.jpg,"
                27 Jul 2017",9781473674202,4/5,3598.51
thriller,The Night Stalker,Robert Bryndza,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751571295.jpg,"
                22 Mar 2018",9780751571295,4/5,3543.11
thriller,Dark Water,Robert Bryndza,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751571301.jpg,"
                13 Dec 2018",9780751571301,4/5,3368.28
thriller,Troubled Blood,Robert Galbraith,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751579956.jpg,"
                24 Jun 2021",9780751579956,4/5,4670.05
thriller,Dark Sacred Night,Michael Connelly,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409182740.jpg,"
                23 Jun 2020",9781409182740,4/5,3586.56
thriller,Splinter the Silence,Val McDermid,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751561425.jpg,"
                30 Dec 2016",9780751561425,4/5,3762.78
thriller,Darkly Dreaming Dexter,Jeff Lindsay,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7528/9780752865744.jpg,"
                27 Jul 2005",9780752865744,4/5,3580.63
thriller,Encore in Death: An Eve Dallas thriller (In Death 56),J. D. Robb,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349433875.jpg,"
                07 Feb 2023",9780349433875,4/5,5373.12
thriller,Lies: The irresistible thriller from the million-copy Sunday Times bestselling author of THE HOLIDAY and THE CATCH,T.M. Logan,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785770555.jpg,"
                04 May 2017",9781785770555,4/5,3861.09
thriller,The Racketeer,John Grisham,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444730623.jpg,"
                04 Jun 2013",9781444730623,4/5,3741.86
thriller,The Ruin,Dervla McTiernan,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751569315.jpg,"
                06 Sep 2018",9780751569315,4/5,3536.24
thriller,A Quiet Flame,Philip Kerr,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8472/9781847245588.jpg,"
                02 Oct 2008",9781847245588,4/5,3690.46
thriller,Artemis,Andy Weir,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785030253.jpg,"
                12 Jul 2018",9781785030253,3/5,3643.62
thriller,Blood Orange,Harriet Tyce,Paperback,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472252746.jpg,"
                12 Dec 2019",9781472252746,4/5,3419.54
